File;NSR;NEM;NOA;COMPLEX;TIPO
/prototipo/atsilo_files/dati_genitore_richiedente_residenti_fisciano.jsp;33;1;0;1;
/prototipo/atsilo_files/sidebar_impiegato.jsp;3;1;0;1;
/prototipo/atsilo_files/autoinclude_sidebar_giusta_tipologia.jsp;1;1;0;1;
/prototipo/atsilo_files/sidebar_impiegato_bando.jsp;1;1;0;1;
/prototipo/atsilo_files/includi_sidebar_giusta_tipologia.jsp;1;1;0;1;
/prototipo/atsilo_files/header.jsp;12;1;0;1;
/prototipo/atsilo_files/dati_genitore_richiedente_altro.jsp;36;1;0;1;
/prototipo/atsilo_files/sidebar_top_iscrizione.jsp;0;1;0;1;
/prototipo/atsilo_files/sidebar_genitore.jsp;6;1;0;1;
/prototipo/atsilo_files/footer.jsp;0;1;0;1;
/prototipo/atsilo_files/sidebar_top_bambino.jsp;0;1;0;1;
/prototipo/atsilo_files/sidebar_index.jsp;0;1;0;1;
/prototipo/atsilo_files/form_ricerca_personale_da_personale.jsp;0;1;0;1;
/prototipo/atsilo_files/sidebar_delegato.jsp;3;1;0;1;
/prototipo/atsilo_files/dati_genitore_richiedente_personale.jsp;35;1;0;1;
/prototipo/atsilo_files/sidebar_direttore.jsp;3;1;0;1;
/prototipo/atsilo_files/modifica_dati_account.jsp;7;1;0;1;
/prototipo/atsilo_files/sidebar.jsp;3;1;0;1;
/prototipo/atsilo_files/form_modifica_account_impiegato.jsp;7;1;0;1;
/prototipo/atsilo_files/sidebar_top_genitore.jsp;0;1;0;1;
/prototipo/atsilo_files/sidebar_scienzeformazione.jsp;3;1;0;1;
/prototipo/atsilo_files/sidebar_ped.jsp;3;1;0;1;
/prototipo/atsilo_files/form_ricerca_genitore.jsp;2;1;0;1;
/prototipo/atsilo_files/modifica_specifiche_bando.jsp;8;1;0;1;
/prototipo/atsilo_files/sidebar_delegato_rettore.jsp;3;1;0;1;
/prototipo/atsilo_files/form_ricerca_personale_da_genitore.jsp;0;1;0;1;
/prototipo/login.jsp;6;1;0;1;
/prototipo/licenzia.jsp;0;1;0;1;
/prototipo/modifica_evento.jsp;22;1;0;1;
/prototipo/eventi.jsp;12;1;0;1;
/prototipo/comunicazioni.jsp;0;1;0;1;
/prototipo/logout.jsp;2;1;0;1;
/prototipo/modifica_fascia_oraria.jsp;0;1;0;1;
/prototipo/account_impiegato.jsp;0;1;0;1;
/prototipo/cancella_iscritto.jsp;0;1;0;1;
/prototipo/inserimento_giudizio_tirocinante.jsp;0;1;0;1;
/prototipo/caricamento_bando.jsp;5;1;0;1;
/prototipo/richieste_tirocinanti.jsp;0;1;0;1;
/prototipo/lista_evento.jsp;27;1;0;1;
/prototipo/index_impiegato_bando.jsp;0;1;0;1;
/prototipo/modifica_iscritto.jsp;0;1;0;1;
/prototipo/index_educatore.jsp;0;1;0;1;
/prototipo/index_direttore.jsp;0;1;0;1;
/prototipo/convalida_classe_bambino.jsp;16;1;0;1;
/prototipo/modifica_pasti.jsp;0;1;0;1;
/prototipo/graduatoria_ammessi.jsp;10;1;0;1;
/prototipo/inserisci_iscritto.jsp;0;1;0;1;
/prototipo/prova.jsp;5;1;0;1;
/prototipo/index_delegato.jsp;0;1;0;1;
/prototipo/account_impiegato_bando.jsp;0;1;0;1;
/prototipo/modifica_specifiche_bando.jsp;0;1;0;1;
/prototipo/cancella_fascia_oraria.jsp;0;1;0;1;
/prototipo/index_responsabile_questionario.jsp;0;1;0;1;
/prototipo/dati_bambino.jsp;29;1;0;1;
/prototipo/visualizza_tirocinanti.jsp;0;1;0;1;
/prototipo/statistica_questionario.jsp;18;1;0;1;
/prototipo/cancella_classe.jsp;11;1;0;1;
/prototipo/presenta_iscrizione.jsp;16;1;0;1;
/prototipo/fattura_mensile.jsp;0;1;0;1;
/prototipo/iscrizione.jsp;14;1;0;1;
/prototipo/situazione_familiare.jsp;31;1;0;1;
/prototipo/modifica_personale.jsp;0;1;0;1;
/prototipo/servizi_attivi.jsp;0;1;0;1;
/prototipo/inserisci_evento.jsp;9;1;0;1;
/prototipo/stato_pagamenti.jsp;0;1;0;1;
/prototipo/assegna_classe.jsp;15;1;0;1;
/prototipo/storico_registro.jsp;2;1;0;1;
/prototipo/registrazione_account.jsp;4;1;0;1;
